#,no,name,laps,lead,lap_time,speed,elapsed_time,passing_time,hits,strength,noice,photocell_time,transponder,backup_tx,backup_passing_time,class,deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
78,44.0,Tommes Pack Seat Leon,7.0,7.0,1:08.957,112'2,8:10.979,10:10:25.564,144.0,177.0,4.0,,9788538.0,0.0,,R2,No
79,30.0,Team Gävlarna Clio ,7.0,7.0,1:09.298,111'7,8:11.896,10:10:26.481,121.0,161.0,4.0,,3289056.0,0.0,,R1,No
80,27.0,B.E.T BMW 330,7.0,7.0,1:09.890,110'7,8:12.931,10:10:27.516,97.0,152.0,4.0,,7493526.0,0.0,,R1,No
81,4.0,SMK Racing Renault Clio,7.0,7.0,1:10.075,110'5,8:13.460,10:10:28.045,149.0,173.0,4.0,,7622978.0,0.0,,R1,No
82,6.0,SPEeD S60 Racing Team S60 Challange,7.0,7.0,1:14.781,103'5,8:35.314,10:10:49.899,90.0,145.0,9.0,,4800537.0,0.0,,R2,No
83,99997.0,clio helvit N/N,7.0,7.0,1:14.639,103'7,8:35.712,10:10:50.297,135.0,168.0,9.0,,641641.0,0.0,,GT Open,No
84,86.0,clio 86,7.0,7.0,1:17.167,100'3,8:39.748,10:10:54.333,136.0,164.0,9.0,,7722174.0,0.0,,GT Open,No
85,3.0,Team Häsen Racing Sweden VW Polo,7.0,7.0,1:21.591,94'9,8:42.933,10:10:57.518,84.0,144.0,9.0,,9515691.0,0.0,,R1,No
86,2.0,Team Skeppsbrons BMW M3 E36,7.0,7.0,1:22.490,93'8,8:46.214,10:11:00.799,140.0,163.0,9.0,,4867808.0,0.0,,R1,No
87,44.0,Tommes Pack Seat Leon,8.0,8.0,1:07.499,114'7,9:18.478,10:11:33.063,148.0,179.0,9.0,,9788538.0,0.0,,R2,No
88,30.0,Team Gävlarna Clio ,8.0,8.0,1:07.615,114'5,9:19.511,10:11:34.096,120.0,162.0,9.0,,3289056.0,0.0,,R1,No
89,27.0,B.E.T BMW 330,8.0,8.0,1:07.685,114'4,9:20.616,10:11:35.201,100.0,154.0,9.0,,7493526.0,0.0,,R1,No
